address,orientation,distance_m
10 MELNOTTE AVENUE,West,2717.6
11 MELNOTTE AVENUE,West,2680.58
12 MELNOTTE AVENUE,West,2726.19
13 MELNOTTE AVENUE,West,2692.64
14 MELNOTTE AVENUE,West,2734.87
15 MELNOTTE AVENUE,West,2704.66
17 MELNOTTE AVENUE,West,2716.82
37 BABBAGE ROAD,North,2486.04
39 BABBAGE ROAD,North,2479.21
40 BABBAGE ROAD,North,2457.23
41 BABBAGE ROAD,North,2492.71
472 PENSHURST STREET,North,2174.6
474 PENSHURST STREET,North,2186.96
43 WILLIAM STREET,West,2496.66
44 WILLIAM STREET,West,2449.57
"UNIT 4, 167 PACIFIC HIGHWAY",West,3687.27
"UNIT 7, 167 PACIFIC HIGHWAY",West,3687.27
"UNIT 9, 167 PACIFIC HIGHWAY",West,3687.27
170 PACIFIC HIGHWAY,West,3545.23
172 PACIFIC HIGHWAY,West,3560.17
"UNIT 10, 174 PACIFIC HIGHWAY",West,3577.74
"UNIT 11, 174 PACIFIC HIGHWAY",West,3577.74
5 SCOTT CRESCENT,North,1985.34
6 SCOTT CRESCENT,North,2029.74
71 BABBAGE ROAD,North,2440.01
73 BABBAGE ROAD,North,2429.34
74 BABBAGE ROAD,North,2194.25
75 BABBAGE ROAD,North,2423.63
"UNIT 5, 184 PACIFIC HIGHWAY",West,3683.01
"UNIT 6, 184 PACIFIC HIGHWAY",West,3683.01
"UNIT 2, 19-21 PACIFIC HIGHWAY",West,3044.37
"UNIT 3, 19-21 PACIFIC HIGHWAY",West,3044.37
"UNIT 8, 19-21 PACIFIC HIGHWAY",West,3035.36
45 WILLIAM STREET,West,2507.29
46 WILLIAM STREET,West,2458.7
47 WILLIAM STREET,West,2517.99
48 WILLIAM STREET,West,2466.76
49 WILLIAM STREET,West,2528.81
77 BABBAGE ROAD,North,2412.42
79 BABBAGE ROAD,North,2395.31
81 BABBAGE ROAD,North,2376.98
83 BABBAGE ROAD,North,2355.29
110 PACIFIC HIGHWAY,West,3383.08
132 PACIFIC HIGHWAY,West,3449.6
"UNIT 10, 134 PACIFIC HIGHWAY",West,3466.51
"UNIT 2, 134 PACIFIC HIGHWAY",West,3466.51
10 CLIVE STREET,North,2085.14
12 CLIVE STREET,North,2097.31
95 BABBAGE ROAD,North,2238.38
96 BABBAGE ROAD,North,2397.3
8 PARK AVENUE,North,2745.56
417 PENSHURST STREET,North,1913.94
419 PENSHURST STREET,North,1928.26
421 PENSHURST STREET,North,1937.48
55 BOUNDARY STREET,West,2600.93
11 KOONGARA ROAD,North,2229.02
12 KOONGARA ROAD,North,2286.3
14 KOONGARA ROAD,North,2285.0
16 KOONGARA ROAD,North,2283.34
18 KOONGARA ROAD,North,2285.67
81 BOUNDARY STREET,West,2424.6
17 ARCHBOLD ROAD,North,2495.4
19A ARCHBOLD ROAD,North,2570.21
19 ARCHBOLD ROAD,North,2509.82
20 ARCHBOLD ROAD,North,2614.95
21 ARCHBOLD ROAD,North,2594.23
22A ARCHBOLD ROAD,North,2646.76
24 ARCHBOLD ROAD,North,2781.8
25 ARCHBOLD ROAD,North,2687.87
26 ARCHBOLD ROAD,North,2793.6
78 BOUNDARY STREET,West,2348.65
79 BOUNDARY STREET,North,2469.03
3 GREGORY STREET,North,3303.39
7 GREGORY STREET,North,3332.59
2 BROMBOROUGH ROAD,West,3587.7
20 BROMBOROUGH ROAD,West,3676.12
22 BROMBOROUGH ROAD,West,3686.12
23 BROMBOROUGH ROAD,West,3737.97
24 BROMBOROUGH ROAD,West,3696.33
134 PACIFIC HIGHWAY,West,3466.51
136 PACIFIC HIGHWAY,West,3486.39
148 PACIFIC HIGHWAY,West,3515.34
"UNIT 1, 154 PACIFIC HIGHWAY",West,3530.07
"UNIT 3, 154 PACIFIC HIGHWAY",West,3530.07
"UNIT 10, 167 PACIFIC HIGHWAY",West,3687.27
"UNIT 12, 167 PACIFIC HIGHWAY",West,3687.27
"UNIT 13, 167 PACIFIC HIGHWAY",West,3687.27
"UNIT 2, 167 PACIFIC HIGHWAY",West,3687.27
"UNIT 1, 18 PACIFIC HIGHWAY",West,3115.18
5 KOONGARA ROAD,North,2228.46
6 KOONGARA ROAD,North,2289.35
77 BOUNDARY STREET,West,2441.4
26A VICTORIA AVENUE,North,790.37
13 TELAK CLOSE,North,603.87
103 ASHLEY STREET,West,2334.95
113 ASHLEY STREET,West,2383.06
115 ASHLEY STREET,West,2391.76
117 ASHLEY STREET,West,2401.3
123 ASHLEY STREET,West,2461.37
125 ASHLEY STREET,West,2476.54
135 ASHLEY STREET,West,2526.33
141 ASHLEY STREET,West,2557.3
143 ASHLEY STREET,West,2565.13
147 ASHLEY STREET,West,2616.03
149 ASHLEY STREET,West,2630.27
151 ASHLEY STREET,West,2643.51
153 ASHLEY STREET,West,2652.56
155 ASHLEY STREET,West,2673.84
157 ASHLEY STREET,West,2682.21
159 ASHLEY STREET,West,2691.06
165 ASHLEY STREET,West,2717.58
45 ASHLEY STREET,West,1985.47
47 ASHLEY STREET,West,1994.38
49 ASHLEY STREET,West,2002.57
51 ASHLEY STREET,West,2011.23
55 ASHLEY STREET,West,2033.18
59 ASHLEY STREET,West,2046.14
61 ASHLEY STREET,West,2055.68
69 ASHLEY STREET,West,2092.19
71 ASHLEY STREET,West,2086.69
73 ASHLEY STREET,West,2096.03
81 ASHLEY STREET,West,2146.91
83 ASHLEY STREET,West,2158.03
95 ASHLEY STREET,West,2227.81
"UNIT 308, 16 ARTARMON ROAD",North,1314.32
"UNIT 105, 1015 PACIFIC HIGHWAY",West,2877.72
"UNIT 205, 1015 PACIFIC HIGHWAY",West,2877.72
"UNIT 101, 1015 PACIFIC HIGHWAY",West,2877.72
"UNIT 136, 1015 PACIFIC HIGHWAY",West,2877.72
"UNIT 102, 1015 PACIFIC HIGHWAY",West,2877.72
"UNIT 409, 1015 PACIFIC HIGHWAY",West,2877.72
"UNIT 133, 1015 PACIFIC HIGHWAY",West,2877.72
"UNIT 602, 1015 PACIFIC HIGHWAY",West,2877.72
"UNIT 212, 1015 PACIFIC HIGHWAY",West,2877.72
"UNIT 210, 1015 PACIFIC HIGHWAY",West,2877.72
10C THE OUTPOST,South,157.83
"UNIT 211, 1015 PACIFIC HIGHWAY",West,2877.72
"UNIT 307, 1015 PACIFIC HIGHWAY",West,2877.72
"UNIT 608, 1015 PACIFIC HIGHWAY",West,2877.72
"UNIT 128, 1015 PACIFIC HIGHWAY",West,2877.72
